top - 11:32:40 up 11 min,  2 users,  load average: 1.77, 1.24, 0.75
Threads: 206 total,   5 running, 201 sleeping,   0 stopped,   0 zombie
%Cpu(s): 94.7 us,  5.3 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3854.5 total,   3425.9 free,    189.4 used,    239.2 buff/cache
MiB Swap:    100.0 total,    100.0 free,      0.0 used.   3496.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  647 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.00 gvfs-fuse-sub
  646 root      20   0    9808   4340   3988 S   0.0   0.1   0:00.05 bluetoothd
  650 pi        20   0   62984  15420  12424 S   0.0   0.4   0:00.70 openbox
  652 pi        20   0   47136   8720   7772 S   0.0   0.2   0:00.04 lxpolkit
  662 pi        20   0   47136   8720   7772 S   0.0   0.2   0:00.00 gmain
  663 pi        20   0   47136   8720   7772 S   0.0   0.2   0:00.00 gdbus
  655 pi        20   0  149688  28832  22492 S   0.0   0.7   0:02.82 lxpanel
  692 pi        20   0  149688  28832  22492 S   0.0   0.7   0:00.00 gmain
  693 pi        20   0  149688  28832  22492 S   0.0   0.7   0:00.01 gdbus
  810 pi        20   0  149688  28832  22492 S   0.0   0.7   0:00.00 menu-cache-io
  656 pi        20   0  150892  29968  24128 S   0.0   0.8   0:02.54 pcmanfm
  678 pi        20   0  150892  29968  24128 S   0.0   0.8   0:00.01 gmain
  679 pi        20   0  150892  29968  24128 S   0.0   0.8   0:00.03 gdbus
  915 pi        20   0  150892  29968  24128 S   0.0   0.8   0:00.00 pool
  916 pi        20   0  150892  29968  24128 S   0.0   0.8   0:00.00 pool
  661 pi        20   0    4488    288      0 S   0.0   0.0   0:00.00 ssh-agent
  673 pi        20   0    1940    380    328 S   0.0   0.0   0:00.00 cmstart.sh
  677 pi        20   0    4872    972    788 S   0.0   0.0   0:00.00 xcompmgr
  680 root      20   0   26708   4088   3744 S   0.0   0.1   0:00.02 bluealsa
  687 root      20   0   26708   4088   3744 S   0.0   0.1   0:00.00 gmain
  688 root      20   0   26708   4088   3744 S   0.0   0.1   0:00.00 gdbus
  695 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
  708 pi        20   0   79460  10276   9060 S   0.0   0.3   0:00.04 gvfs-udisks2-vo
  719 pi        20   0   79460  10276   9060 S   0.0   0.3   0:00.00 gmain
  720 pi        20   0   79460  10276   9060 S   0.0   0.3   0:00.01 gdbus
  710 pi        20   0   28704   6384   5880 S   0.0   0.2   0:00.02 menu-cached
  716 pi        20   0   28704   6384   5880 S   0.0   0.2   0:00.00 gmain
  718 pi        20   0   28704   6384   5880 S   0.0   0.2   0:00.00 gdbus
  713 pi        20   0   32120  12824  10600 S   0.0   0.3   0:00.25 vncserverui
  722 pi        20   0   40128   4620   4220 S   0.0   0.1   0:00.02 gvfs-mtp-volume
  723 pi        20   0   40128   4620   4220 S   0.0   0.1   0:00.00 gmain
  725 pi        20   0   40128   4620   4220 S   0.0   0.1   0:00.00 gdbus
  726 pi        20   0   56028   6968   6244 S   0.0   0.2   0:00.01 gvfs-afc-volume
  727 pi        20   0   56028   6968   6244 S   0.0   0.2   0:00.00 gvfs-afc-volume
  728 pi        20   0   56028   6968   6244 S   0.0   0.2   0:00.00 gmain
  730 pi        20   0   56028   6968   6244 S   0.0   0.2   0:00.00 gdbus
  731 pi        20   0   40104   4412   4092 S   0.0   0.1   0:00.01 gvfs-goa-volume
  732 pi        20   0   40104   4412   4092 S   0.0   0.1   0:00.00 gmain
  734 pi        20   0   40104   4412   4092 S   0.0   0.1   0:00.00 gdbus
  733 pi        20   0   31760  14280  12760 S   0.0   0.4   0:00.08 vncserverui
  736 pi        20   0   41696   5040   4552 S   0.0   0.1   0:00.03 gvfs-gphoto2-vo
  737 pi        20   0   41696   5040   4552 S   0.0   0.1   0:00.00 gmain
  739 pi        20   0   41696   5040   4552 S   0.0   0.1   0:00.00 gdbus
  765 pi        20   0   55120   8132   7300 S   0.0   0.2   0:00.02 gvfsd-trash
  768 pi        20   0   55120   8132   7300 S   0.0   0.2   0:00.01 gmain
  771 pi        20   0   55120   8132   7300 S   0.0   0.2   0:00.00 gdbus
  836 pi        20   0  167972  48920  37136 S   0.0   1.2   0:03.03 lxterminal
  840 pi        20   0  167972  48920  37136 S   0.0   1.2   0:00.00 gmain
  841 pi        20   0  167972  48920  37136 S   0.0   1.2   0:00.00 gdbus
  842 pi        20   0    8516   3608   2716 S   0.0   0.1   0:00.07 bash
  866 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker/u8:0-brcmf_wq/mmc1:+
  867 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/1:0-mm_percpu_wq
  870 pi        20   0   30980   4300   3972 S   0.0   0.1   0:00.03 gvfsd-metadata
  871 pi        20   0   30980   4300   3972 S   0.0   0.1   0:00.00 gmain
  872 pi        20   0   30980   4300   3972 S   0.0   0.1   0:00.01 gdbus
  875 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H
  876 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H
  889 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/3:1-mm_percpu_wq
  891 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/1:1-events
  893 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u8:2-events_unbound
  895 pi        20   0    8516   3608   2716 S   0.0   0.1   0:00.06 bash
  902 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:0-events
  903 pi        20   0   51076  19780  15608 S   0.0   0.5   0:00.60 leafpad
  904 pi        20   0   51076  19780  15608 S   0.0   0.5   0:00.00 gmain
  905 pi        20   0   51076  19780  15608 S   0.0   0.5   0:00.00 gdbus
  913 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:2-events

top - 11:32:43 up 11 min,  2 users,  load average: 2.03, 1.30, 0.77
Threads: 205 total,   5 running, 200 sleeping,   0 stopped,   0 zombie
%Cpu(s): 99.7 us,  0.3 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3854.5 total,   3425.9 free,    189.3 used,    239.3 buff/cache
MiB Swap:    100.0 total,    100.0 free,      0.0 used.   3496.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  910 pi        20   0    8516   1976   1084 R  99.7   0.1   0:16.67 bash
  909 pi        20   0    8516   2168   1276 R  99.3   0.1   0:16.62 bash
  912 pi        20   0    8516   1976   1084 R  99.3   0.1   0:16.62 bash
  911 pi        20   0    8516   1976   1084 R  99.0   0.1   0:16.51 bash
  504 root      20   0  209320  54240  36984 S   0.3   1.4   0:08.94 Xorg
